model_label,domain,category,n_attempted,n_valid,n_unscorable,n_judge_parse_fail,n_run_error,mirage_count,mirage_rate,mirage_ci_low,mirage_ci_high,recognition_count,recognition_rate,recognition_ci_low,recognition_ci_high,explicit_abstention_count,explicit_abstention_rate,explicit_abstention_ci_low,explicit_abstention_ci_high,hedged_answer_count,hedged_answer_rate,hedged_answer_ci_low,hedged_answer_ci_high,confident_answer_count,confident_answer_rate,confident_answer_ci_low,confident_answer_ci_high,hard_mirage_count,hard_mirage_rate,hard_mirage_ci_low,hard_mirage_ci_high,soft_mirage_count,soft_mirage_rate,soft_mirage_ci_low,soft_mirage_ci_high
Qwen-3B,art,art_style,10,8,2,0,0,0,0.0,0.0,0.0,8,1.0,1.0,1.0,8,1.0,1.0,1.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Qwen-3B,biology,biology_birds,10,10,0,0,0,3,0.3,0.0,0.6,7,0.7,0.4,1.0,7,0.7,0.4,1.0,1,0.1,0.0,0.3,2,0.2,0.0,0.5,2,0.2,0.0,0.5,0,0.0,0.0,0.0
Qwen-3B,biology,biology_microscopy,10,7,3,0,0,2,0.2857,0.0,0.5714,5,0.7143,0.4286,1.0,5,0.7143,0.4286,1.0,1,0.1429,0.0,0.4286,1,0.1429,0.0,0.4286,1,0.1429,0.0,0.4286,0,0.0,0.0,0.0
Qwen-3B,biology,biology_plants,10,10,0,0,0,3,0.3,0.0,0.6,7,0.7,0.4,0.9,8,0.8,0.5,1.0,2,0.2,0.0,0.5,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Qwen-3B,geography,geography_satellite,10,8,2,0,0,0,0.0,0.0,0.0,8,1.0,1.0,1.0,8,1.0,1.0,1.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Qwen-3B,medical,medical_brain_mri,10,9,1,0,0,2,0.2222,0.0,0.5556,7,0.7778,0.4444,1.0,7,0.7778,0.4444,1.0,1,0.1111,0.0,0.3333,1,0.1111,0.0,0.3333,1,0.1111,0.0,0.3333,0,0.0,0.0,0.0
Qwen-3B,medical,medical_chest_xray,10,10,0,0,0,4,0.4,0.1,0.7,6,0.6,0.3,0.9,5,0.5,0.2,0.8,2,0.2,0.0,0.5,3,0.3,0.0,0.6,2,0.2,0.0,0.5,2,0.2,0.0,0.5
Qwen-3B,medical,medical_dermatology,10,10,0,0,0,4,0.4,0.1,0.7,6,0.6,0.3,0.9,7,0.7,0.4,1.0,1,0.1,0.0,0.3,2,0.2,0.0,0.5,2,0.2,0.0,0.5,0,0.0,0.0,0.0
Qwen-3B,medical,medical_pathology,10,8,2,0,0,0,0.0,0.0,0.0,8,1.0,1.0,1.0,8,1.0,1.0,1.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Qwen-3B,medical,medical_retinal,10,9,1,0,0,4,0.4444,0.1111,0.7778,5,0.5556,0.2222,0.8889,5,0.5556,0.2222,0.8889,2,0.2222,0.0,0.5556,2,0.2222,0.0,0.5556,2,0.2222,0.0,0.5556,1,0.1111,0.0,0.3333
