model_label,condition_clean,domain,category,n_attempted,n_valid,n_judge_parse_fail,n_unscorable,mirage_count,mirage_rate,recognition_count,recognition_rate,explicit_abstention_count,explicit_abstention_rate,hedged_answer_count,hedged_answer_rate,confident_answer_count,confident_answer_rate,hard_mirage_count,hard_mirage_rate,soft_mirage_count,soft_mirage_rate
SmolVLM,implicit,art,art_style,10,10,0,0,10,1.0,0,0.0,0,0.0,2,0.2,8,0.8,7,0.7,2,0.2
SmolVLM,explicit,art,art_style,10,10,0,0,8,0.8,2,0.2,2,0.2,2,0.2,6,0.6,4,0.4,3,0.3
Qwen-3B,implicit,art,art_style,10,8,0,2,0,0.0,8,1.0,8,1.0,0,0.0,0,0.0,0,0.0,0,0.0
Qwen-3B,explicit,art,art_style,10,10,0,0,0,0.0,10,1.0,10,1.0,0,0.0,0,0.0,0,0.0,0,0.0
Qwen-7B,implicit,art,art_style,10,8,0,2,2,0.25,6,0.75,8,1.0,0,0.0,0,0.0,0,0.0,0,0.0
Qwen-7B,explicit,art,art_style,10,10,0,0,0,0.0,10,1.0,10,1.0,0,0.0,0,0.0,0,0.0,0,0.0
SmolVLM,implicit,biology,biology_birds,10,10,0,0,10,1.0,0,0.0,0,0.0,1,0.1,9,0.9,9,0.9,0,0.0
SmolVLM,explicit,biology,biology_birds,10,10,0,0,10,1.0,0,0.0,1,0.1,0,0.0,9,0.9,9,0.9,0,0.0
Qwen-3B,implicit,biology,biology_birds,10,10,0,0,3,0.3,7,0.7,7,0.7,1,0.1,2,0.2,2,0.2,0,0.0
Qwen-3B,explicit,biology,biology_birds,10,10,0,0,0,0.0,10,1.0,10,1.0,0,0.0,0,0.0,0,0.0,0,0.0
Qwen-7B,implicit,biology,biology_birds,10,10,0,0,2,0.2,8,0.8,8,0.8,2,0.2,0,0.0,0,0.0,0,0.0
Qwen-7B,explicit,biology,biology_birds,10,10,0,0,0,0.0,10,1.0,10,1.0,0,0.0,0,0.0,0,0.0,0,0.0
SmolVLM,implicit,biology,biology_microscopy,10,10,0,0,10,1.0,0,0.0,0,0.0,0,0.0,10,1.0,8,0.8,2,0.2
SmolVLM,explicit,biology,biology_microscopy,10,10,0,0,9,0.9,1,0.1,1,0.1,1,0.1,8,0.8,8,0.8,0,0.0
Qwen-3B,implicit,biology,biology_microscopy,10,7,0,3,2,0.2857142857142857,5,0.7142857142857143,5,0.7142857142857143,1,0.14285714285714285,1,0.14285714285714285,1,0.14285714285714285,0,0.0
Qwen-3B,explicit,biology,biology_microscopy,10,10,0,0,2,0.2,8,0.8,9,0.9,0,0.0,1,0.1,1,0.1,0,0.0
Qwen-7B,implicit,biology,biology_microscopy,10,9,0,1,4,0.4444444444444444,5,0.5555555555555556,7,0.7777777777777778,0,0.0,2,0.2222222222222222,2,0.2222222222222222,0,0.0
Qwen-7B,explicit,biology,biology_microscopy,10,10,0,0,1,0.1,9,0.9,9,0.9,0,0.0,1,0.1,1,0.1,0,0.0
SmolVLM,implicit,biology,biology_plants,10,10,0,0,10,1.0,0,0.0,0,0.0,1,0.1,9,0.9,9,0.9,0,0.0
SmolVLM,explicit,biology,biology_plants,10,10,0,0,10,1.0,0,0.0,0,0.0,1,0.1,9,0.9,9,0.9,0,0.0
Qwen-3B,implicit,biology,biology_plants,10,10,0,0,3,0.3,7,0.7,8,0.8,2,0.2,0,0.0,0,0.0,0,0.0
Qwen-3B,explicit,biology,biology_plants,10,10,0,0,1,0.1,9,0.9,10,1.0,0,0.0,0,0.0,0,0.0,0,0.0
Qwen-7B,implicit,biology,biology_plants,10,9,1,0,1,0.1111111111111111,8,0.8888888888888888,9,1.0,0,0.0,0,0.0,0,0.0,0,0.0
Qwen-7B,explicit,biology,biology_plants,10,10,0,0,0,0.0,10,1.0,10,1.0,0,0.0,0,0.0,0,0.0,0,0.0
SmolVLM,implicit,geography,geography_satellite,10,10,0,0,10,1.0,0,0.0,0,0.0,1,0.1,9,0.9,8,0.8,1,0.1
SmolVLM,explicit,geography,geography_satellite,10,9,0,1,9,1.0,0,0.0,0,0.0,1,0.1111111111111111,8,0.8888888888888888,8,0.8888888888888888,1,0.1111111111111111
Qwen-3B,implicit,geography,geography_satellite,10,8,0,2,0,0.0,8,1.0,8,1.0,0,0.0,0,0.0,0,0.0,0,0.0
Qwen-3B,explicit,geography,geography_satellite,10,10,0,0,0,0.0,10,1.0,10,1.0,0,0.0,0,0.0,0,0.0,0,0.0
Qwen-7B,implicit,geography,geography_satellite,10,7,0,3,1,0.14285714285714285,6,0.8571428571428571,7,1.0,0,0.0,0,0.0,0,0.0,0,0.0
Qwen-7B,explicit,geography,geography_satellite,10,10,0,0,0,0.0,10,1.0,10,1.0,0,0.0,0,0.0,0,0.0,0,0.0
SmolVLM,implicit,medical,medical_brain_mri,10,10,0,0,10,1.0,0,0.0,0,0.0,1,0.1,9,0.9,8,0.8,1,0.1
SmolVLM,explicit,medical,medical_brain_mri,10,9,0,1,6,0.6666666666666666,3,0.3333333333333333,3,0.3333333333333333,0,0.0,6,0.6666666666666666,5,0.5555555555555556,1,0.1111111111111111
Qwen-3B,implicit,medical,medical_brain_mri,10,9,0,1,2,0.2222222222222222,7,0.7777777777777778,7,0.7777777777777778,1,0.1111111111111111,1,0.1111111111111111,1,0.1111111111111111,0,0.0
Qwen-3B,explicit,medical,medical_brain_mri,10,9,0,1,1,0.1111111111111111,8,0.8888888888888888,8,0.8888888888888888,0,0.0,1,0.1111111111111111,1,0.1111111111111111,0,0.0
Qwen-7B,implicit,medical,medical_brain_mri,10,9,0,1,2,0.2222222222222222,7,0.7777777777777778,8,0.8888888888888888,0,0.0,1,0.1111111111111111,1,0.1111111111111111,0,0.0
Qwen-7B,explicit,medical,medical_brain_mri,10,8,1,1,1,0.125,7,0.875,7,0.875,0,0.0,1,0.125,1,0.125,0,0.0
SmolVLM,implicit,medical,medical_chest_xray,10,9,0,1,9,1.0,0,0.0,0,0.0,2,0.2222222222222222,7,0.7777777777777778,7,0.7777777777777778,0,0.0
SmolVLM,explicit,medical,medical_chest_xray,10,10,0,0,10,1.0,0,0.0,1,0.1,0,0.0,9,0.9,7,0.7,2,0.2
Qwen-3B,implicit,medical,medical_chest_xray,10,10,0,0,4,0.4,6,0.6,5,0.5,2,0.2,3,0.3,2,0.2,2,0.2
Qwen-3B,explicit,medical,medical_chest_xray,10,10,0,0,0,0.0,10,1.0,10,1.0,0,0.0,0,0.0,0,0.0,0,0.0
Qwen-7B,implicit,medical,medical_chest_xray,10,8,0,2,2,0.25,6,0.75,5,0.625,2,0.25,1,0.125,1,0.125,1,0.125
