model_label,question_type,n_attempted,n_valid,n_unscorable,n_judge_parse_fail,n_run_error,mirage_count,mirage_rate,mirage_ci_low,mirage_ci_high,recognition_count,recognition_rate,recognition_ci_low,recognition_ci_high,explicit_abstention_count,explicit_abstention_rate,explicit_abstention_ci_low,explicit_abstention_ci_high,hedged_answer_count,hedged_answer_rate,hedged_answer_ci_low,hedged_answer_ci_high,confident_answer_count,confident_answer_rate,confident_answer_ci_low,confident_answer_ci_high,hard_mirage_count,hard_mirage_rate,hard_mirage_ci_low,hard_mirage_ci_high,soft_mirage_count,soft_mirage_rate,soft_mirage_ci_low,soft_mirage_ci_high
Qwen-3B,action,9,8,1,0,0,3,0.375,0.125,0.75,5,0.625,0.25,0.875,7,0.875,0.625,1.0,0,0.0,0.0,0.0,1,0.125,0.0,0.375,1,0.125,0.0,0.375,0,0.0,0.0,0.0
Qwen-3B,comparison,4,4,0,0,0,0,0.0,0.0,0.0,4,1.0,1.0,1.0,3,0.75,0.25,1.0,1,0.25,0.0,0.75,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Qwen-3B,counting,10,9,1,0,0,1,0.1111,0.0,0.3333,8,0.8889,0.6667,1.0,8,0.8889,0.6667,1.0,0,0.0,0.0,0.0,1,0.1111,0.0,0.3333,1,0.1111,0.0,0.3333,0,0.0,0.0,0.0
Qwen-3B,identification,56,49,7,0,0,12,0.2449,0.1429,0.3673,37,0.7551,0.6327,0.8571,38,0.7755,0.6531,0.8776,7,0.1429,0.0612,0.2449,4,0.0816,0.0204,0.1633,3,0.0612,0.0,0.1429,1,0.0204,0.0,0.0612
Qwen-3B,open_ended,36,33,3,0,0,8,0.2424,0.1212,0.3939,25,0.7576,0.6061,0.8788,25,0.7576,0.6061,0.8788,2,0.0606,0.0,0.1515,6,0.1818,0.0606,0.3333,4,0.1212,0.0303,0.2424,2,0.0606,0.0,0.1515
Qwen-3B,reading,18,18,0,0,0,2,0.1111,0.0,0.2778,16,0.8889,0.7222,1.0,16,0.8889,0.7222,1.0,0,0.0,0.0,0.0,2,0.1111,0.0,0.2778,2,0.1111,0.0,0.2778,0,0.0,0.0,0.0
Qwen-3B,yes_no,67,62,5,0,0,15,0.2419,0.1452,0.3548,47,0.7581,0.6452,0.8548,48,0.7742,0.6613,0.871,6,0.0968,0.0323,0.1774,8,0.129,0.0484,0.2258,8,0.129,0.0484,0.2258,2,0.0323,0.0,0.0806
Qwen-7B,action,9,7,1,1,0,3,0.4286,0.1429,0.8571,4,0.5714,0.1429,0.8571,7,1.0,1.0,1.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Qwen-7B,comparison,4,3,1,0,0,0,0.0,0.0,0.0,3,1.0,1.0,1.0,2,0.6667,0.0,1.0,1,0.3333,0.0,1.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Qwen-7B,counting,10,10,0,0,0,0,0.0,0.0,0.0,10,1.0,1.0,1.0,10,1.0,1.0,1.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Qwen-7B,identification,56,51,5,0,0,4,0.0784,0.0196,0.1569,47,0.9216,0.8431,0.9804,50,0.9804,0.9412,1.0,1,0.0196,0.0,0.0588,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Qwen-7B,open_ended,36,32,3,1,0,13,0.4062,0.25,0.5938,19,0.5938,0.4062,0.75,21,0.6562,0.4688,0.8125,4,0.125,0.0312,0.25,7,0.2188,0.0938,0.375,5,0.1562,0.0625,0.3125,4,0.125,0.0312,0.25
Qwen-7B,reading,18,18,0,0,0,1,0.0556,0.0,0.1667,17,0.9444,0.8333,1.0,18,1.0,1.0,1.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Qwen-7B,yes_no,67,60,7,0,0,13,0.2167,0.1167,0.3167,47,0.7833,0.6833,0.8833,54,0.9,0.8167,0.9667,2,0.0333,0.0,0.0833,4,0.0667,0.0167,0.1333,4,0.0667,0.0167,0.1333,1,0.0167,0.0,0.05
SmolVLM,action,9,8,1,0,0,8,1.0,1.0,1.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,8,1.0,1.0,1.0,6,0.75,0.5,1.0,2,0.25,0.0,0.5
SmolVLM,comparison,4,4,0,0,0,4,1.0,1.0,1.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,4,1.0,1.0,1.0,4,1.0,1.0,1.0,0,0.0,0.0,0.0
SmolVLM,counting,10,10,0,0,0,10,1.0,1.0,1.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,2,0.2,0.0,0.4,8,0.8,0.6,1.0,8,0.8,0.6,1.0,0,0.0,0.0,0.0
SmolVLM,identification,56,53,3,0,0,53,1.0,1.0,1.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,4,0.0755,0.0189,0.1509,49,0.9245,0.8491,0.9811,47,0.8868,0.7925,0.9623,5,0.0943,0.0189,0.1887
SmolVLM,open_ended,36,33,3,0,0,33,1.0,1.0,1.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,6,0.1818,0.0606,0.303,27,0.8182,0.697,0.9394,23,0.697,0.5455,0.8485,4,0.1212,0.0303,0.2424
SmolVLM,reading,18,15,3,0,0,15,1.0,1.0,1.0,0,0.0,0.0,0.0,1,0.0667,0.0,0.2,0,0.0,0.0,0.0,14,0.9333,0.8,1.0,13,0.8667,0.6667,1.0,1,0.0667,0.0,0.2
SmolVLM,yes_no,67,67,0,0,0,67,1.0,1.0,1.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,3,0.0448,0.0,0.1045,64,0.9552,0.8955,1.0,62,0.9254,0.8507,0.9851,2,0.0299,0.0,0.0746
