model_label,condition_clean,question_type,n_attempted,n_valid,n_unscorable,n_judge_parse_fail,mirage_count,mirage_rate,recognition_count,recognition_rate,explicit_abstention_count,explicit_abstention_rate,hedged_answer_count,hedged_answer_rate,confident_answer_count,confident_answer_rate,hard_mirage_count,hard_mirage_rate,soft_mirage_count,soft_mirage_rate
SmolVLM,implicit,action,9,8,1,0,8,1.0,0,0.0,0,0.0,0,0.0,8,1.0,6,0.75,2,0.25
SmolVLM,explicit,action,9,8,1,0,8,1.0,0,0.0,0,0.0,0,0.0,8,1.0,6,0.75,2,0.25
Qwen-3B,implicit,action,9,8,1,0,3,0.375,5,0.625,7,0.875,0,0.0,1,0.125,1,0.125,0,0.0
Qwen-3B,explicit,action,9,8,1,0,1,0.125,7,0.875,8,1.0,0,0.0,0,0.0,0,0.0,0,0.0
Qwen-7B,implicit,action,9,7,1,1,3,0.42857142857142855,4,0.5714285714285714,7,1.0,0,0.0,0,0.0,0,0.0,0,0.0
Qwen-7B,explicit,action,9,8,1,0,0,0.0,8,1.0,8,1.0,0,0.0,0,0.0,0,0.0,0,0.0
SmolVLM,implicit,comparison,4,4,0,0,4,1.0,0,0.0,0,0.0,0,0.0,4,1.0,4,1.0,0,0.0
SmolVLM,explicit,comparison,4,4,0,0,4,1.0,0,0.0,0,0.0,0,0.0,4,1.0,4,1.0,0,0.0
Qwen-3B,implicit,comparison,4,4,0,0,0,0.0,4,1.0,3,0.75,1,0.25,0,0.0,0,0.0,0,0.0
Qwen-3B,explicit,comparison,4,4,0,0,0,0.0,4,1.0,4,1.0,0,0.0,0,0.0,0,0.0,0,0.0
Qwen-7B,implicit,comparison,4,3,1,0,0,0.0,3,1.0,2,0.6666666666666666,1,0.3333333333333333,0,0.0,0,0.0,0,0.0
Qwen-7B,explicit,comparison,4,4,0,0,0,0.0,4,1.0,4,1.0,0,0.0,0,0.0,0,0.0,0,0.0
SmolVLM,implicit,counting,10,10,0,0,10,1.0,0,0.0,0,0.0,2,0.2,8,0.8,8,0.8,0,0.0
SmolVLM,explicit,counting,10,10,0,0,10,1.0,0,0.0,0,0.0,1,0.1,9,0.9,8,0.8,1,0.1
Qwen-3B,implicit,counting,10,9,1,0,1,0.1111111111111111,8,0.8888888888888888,8,0.8888888888888888,0,0.0,1,0.1111111111111111,1,0.1111111111111111,0,0.0
Qwen-3B,explicit,counting,10,10,0,0,0,0.0,10,1.0,10,1.0,0,0.0,0,0.0,0,0.0,0,0.0
Qwen-7B,implicit,counting,10,10,0,0,0,0.0,10,1.0,10,1.0,0,0.0,0,0.0,0,0.0,0,0.0
Qwen-7B,explicit,counting,10,10,0,0,0,0.0,10,1.0,10,1.0,0,0.0,0,0.0,0,0.0,0,0.0
SmolVLM,implicit,identification,56,53,3,0,53,1.0,0,0.0,0,0.0,4,0.07547169811320754,49,0.9245283018867925,47,0.8867924528301887,5,0.09433962264150944
SmolVLM,explicit,identification,56,54,2,0,51,0.9444444444444444,3,0.05555555555555555,6,0.1111111111111111,2,0.037037037037037035,46,0.8518518518518519,39,0.7222222222222222,9,0.16666666666666666
