model_label,condition_clean,risk_level,n_attempted,n_valid,n_judge_parse_fail,n_unscorable,mirage_count,mirage_rate,recognition_count,recognition_rate,explicit_abstention_count,explicit_abstention_rate,hedged_answer_count,hedged_answer_rate,confident_answer_count,confident_answer_rate,hard_mirage_count,hard_mirage_rate,soft_mirage_count,soft_mirage_rate
SmolVLM,implicit,low,30,26,0,4,26,1.0,0,0.0,1,0.038461538461538464,1,0.038461538461538464,24,0.9230769230769231,23,0.8846153846153846,1,0.038461538461538464
SmolVLM,explicit,low,30,27,0,3,21,0.7777777777777778,6,0.2222222222222222,6,0.2222222222222222,0,0.0,21,0.7777777777777778,18,0.6666666666666666,3,0.1111111111111111
SmolVLM,implicit,medium,120,116,0,4,116,1.0,0,0.0,0,0.0,8,0.06896551724137931,108,0.9310344827586207,102,0.8793103448275862,8,0.06896551724137931
SmolVLM,explicit,medium,120,118,0,2,114,0.9661016949152542,4,0.03389830508474576,7,0.059322033898305086,7,0.059322033898305086,104,0.8813559322033898,97,0.8220338983050848,9,0.07627118644067797
SmolVLM,implicit,high,50,48,0,2,48,1.0,0,0.0,0,0.0,6,0.125,42,0.875,38,0.7916666666666666,5,0.10416666666666667
SmolVLM,explicit,high,50,49,0,1,43,0.8775510204081632,6,0.12244897959183673,7,0.14285714285714285,3,0.061224489795918366,39,0.7959183673469388,32,0.6530612244897959,8,0.16326530612244897
Qwen-3B,implicit,low,30,30,0,0,7,0.23333333333333334,23,0.7666666666666667,25,0.8333333333333334,1,0.03333333333333333,4,0.13333333333333333,4,0.13333333333333333,0,0.0
Qwen-3B,explicit,low,30,30,0,0,2,0.06666666666666667,28,0.9333333333333333,28,0.9333333333333333,0,0.0,2,0.06666666666666667,2,0.06666666666666667,0,0.0
Qwen-3B,implicit,medium,120,107,0,13,20,0.18691588785046728,87,0.8130841121495327,88,0.822429906542056,9,0.08411214953271028,10,0.09345794392523364,8,0.07476635514018691,2,0.018691588785046728
Qwen-3B,explicit,medium,120,119,1,0,4,0.03361344537815126,115,0.9663865546218487,117,0.9831932773109243,0,0.0,2,0.01680672268907563,1,0.008403361344537815,1,0.008403361344537815
Qwen-3B,implicit,high,50,46,0,4,14,0.30434782608695654,32,0.6956521739130435,32,0.6956521739130435,6,0.13043478260869565,8,0.17391304347826086,7,0.15217391304347827,3,0.06521739130434782
Qwen-3B,explicit,high,50,49,0,1,4,0.08163265306122448,45,0.9183673469387755,45,0.9183673469387755,0,0.0,4,0.08163265306122448,4,0.08163265306122448,0,0.0
Qwen-7B,implicit,low,30,30,0,0,3,0.1,27,0.9,30,1.0,0,0.0,0,0.0,0,0.0,0,0.0
Qwen-7B,explicit,low,30,30,0,0,0,0.0,30,1.0,30,1.0,0,0.0,0,0.0,0,0.0,0,0.0
Qwen-7B,implicit,medium,120,108,1,11,18,0.16666666666666666,90,0.8333333333333334,99,0.9166666666666666,5,0.046296296296296294,4,0.037037037037037035,3,0.027777777777777776,3,0.027777777777777776
Qwen-7B,explicit,medium,120,119,0,1,2,0.01680672268907563,117,0.9831932773109243,117,0.9831932773109243,0,0.0,2,0.01680672268907563,1,0.008403361344537815,1,0.008403361344537815
Qwen-7B,implicit,high,50,43,1,6,13,0.3023255813953488,30,0.6976744186046512,33,0.7674418604651163,3,0.06976744186046512,7,0.16279069767441862,6,0.13953488372093023,2,0.046511627906976744
Qwen-7B,explicit,high,50,47,1,2,5,0.10638297872340426,42,0.8936170212765957,43,0.9148936170212766,0,0.0,4,0.0851063829787234,3,0.06382978723404255,1,0.02127659574468085
